,Length,Width,Views from last 7 days,Price in Euros,clusters,cluster
967,-0.028990884368492897,-0.27140701756278096,-0.21165477057151097,-0.2408501001310262,1,light pink
968,-0.6691338501640786,-0.46738699117462984,-0.4876336597199398,-0.2408501001310262,1,light pink
969,-0.38539480586549446,0.0353442454818519,-0.25658156647939473,-0.2408501001310262,0,beige
970,-0.03764146498735198,0.5721589558099599,-0.545396683030076,-0.2408501001310262,0,beige
971,-0.28850830293427093,0.10351119282510374,-0.6609227296503486,-0.2408501001310262,0,beige
972,0.0402137605823813,0.41026245586973664,-0.012693245836597181,-0.2408501001310262,0,beige
973,-0.27293725782032424,-0.18619833338371655,-0.29509024868615225,-0.2408501001310262,1,light pink
974,-0.32311062540970786,-0.44182438592091056,-0.6159959337424649,-0.2408501001310262,1,light pink
975,0.00042108973562859724,0.23132421909370074,-0.34001704459403603,-0.2408501001310262,0,beige
976,-0.18470133550795945,0.043865113899758196,-0.37852572680079355,-0.2408501001310262,0,beige
977,-0.028990884368492897,-0.23732354389115506,0.12208714188705411,-0.23969328654108027,1,light pink
978,-0.3577129478851448,-0.10098964920465177,-0.8021212310751261,-0.23969328654108027,0,beige
979,0.005611438106944354,-0.5781582806074143,-0.4234525227086773,-0.23969328654108027,1,light pink
980,-0.6725940824116222,-0.808221727890889,-0.8277936858796311,-0.23969328654108027,1,light pink
981,-0.5203438635196992,-0.45034525433881684,-0.44270686381205604,-0.23969328654108027,1,light pink
982,-0.734878262867409,-0.5866791490253205,-0.5839053652368336,-0.23969328654108027,1,light pink
983,-0.5999292052132044,-0.5696374121895076,-0.6031597063402123,-0.23969328654108027,1,light pink
984,-0.734878262867409,-0.5866791490253205,-0.8534661406841362,-0.23969328654108027,1,light pink
985,-0.710656637134603,-0.8508260699804212,-0.648086502248096,-0.23969328654108027,1,light pink
986,-0.6449122244312726,-0.6974504384581046,-0.8085393447762524,-0.23969328654108027,1,light pink
987,-0.6449122244312726,-0.6974504384581046,-0.6352502748458436,-0.23969328654108027,1,light pink
988,-0.710656637134603,-0.8508260699804212,-0.43628875011092977,-0.23969328654108027,1,light pink
989,-1.016887191042221,-0.9956808330848311,0.1734320514960641,-0.23314215863612925,1,light pink
990,-0.5601365343664516,-0.7570965173834501,3.33114399245018,-0.23131795614987175,4,dark purple
991,-0.32657085765725147,-0.45034525433881684,1.264511380687527,-0.23131795614987175,1,light pink
992,-0.5134233990246116,-0.5781582806074143,1.3479468588021681,-0.23849598447548623,1,light pink
993,-0.2400650514686588,-0.2117609386374358,-0.12821929245686972,-0.23853647295113434,1,light pink
994,-0.3750141091228636,-0.45034525433881684,0.1349233692893066,-0.23853647295113434,1,light pink
995,0.3014612952719311,0.793701534675528,-0.6159959337424649,-0.23853647295113434,0,beige
996,0.3672057079752617,0.6744093768248369,0.09641468708254909,-0.23853647295113434,0,beige
997,-0.617230366450923,-0.7911799910550761,-0.365689499398541,-0.23853647295113434,1,light pink
998,-0.5203438635196992,-0.4247826490850976,-0.3015083623872785,-0.23853647295113434,1,light pink
999,-0.20373261286945005,-0.23732354389115506,-0.5518147967312024,-0.23853647295113434,1,light pink
1000,-0.7798612820854771,-0.8508260699804212,-0.8021212310751261,-0.23853647295113434,1,light pink
1001,-0.8577165076552106,-0.8508260699804212,-0.7186857529604849,-0.23853647295113434,1,light pink
1002,-0.7867817465805645,-0.8763886752341404,-0.5518147967312024,-0.23726397800219381,1,light pink
1003,-0.9286512687298566,-1.4302451223980612,-0.6545046159492224,-0.2373796593611884,1,light pink
1004,0.9225729837060265,1.1771406134813194,0.5328464187591342,-0.2373796593611884,0,beige
1005,-0.13106773567103222,0.1546364033325426,0.7446441708963005,-0.2373796593611884,0,beige
1006,0.04713422507746887,0.4528667979592688,-0.6545046159492224,-0.2373796593611884,0,beige
1007,-0.06359320684392984,0.3165329032727655,-0.5518147967312024,-0.2373796593611884,0,beige
1008,0.33433350162359654,0.44434592954136254,0.05790600487579159,-0.2373796593611884,0,beige
1009,-0.33176120602856723,-0.3651365701597524,-0.4491249775131823,-0.2373796593611884,1,light pink
1010,0.5938509201893746,-0.5781582806074143,-0.5582329104323286,-0.2373796593611884,0,beige
1011,-0.6847048952780251,-0.7911799910550761,0.3082124392197154,-0.2373796593611884,1,light pink
1012,-0.26428667720146487,-0.23732354389115506,-0.21807288427263724,-0.2373796593611884,1,light pink
1013,-0.8577165076552106,-0.8508260699804212,-0.6801770707537274,-0.2373796593611884,1,light pink
1014,-0.4961222377868932,-0.4247826490850976,-0.365689499398541,-0.2373796593611884,1,light pink
1015,-0.30407934804821757,-0.10951051762255806,-0.19881854316925848,-0.2373796593611884,1,light pink
1016,-0.16740017427024098,0.10351119282510374,0.654790579080533,-0.2373796593611884,0,beige
1017,-0.4199971283409317,-0.45034525433881684,-0.8406299132818836,-0.23622284577124247,1,light pink
